gun_id,sticker_id,price

AWP | Боец (После полевых испытаний),"Наклейка: Spirit (золотая) | РМР 2020, sjuush (золотая) | Стокгольм 2021, electroNic (золотая) | Стокгольм 2021, Evil Geniuses (золотая) | Стокгольм 2021",43.63

AWP | Боец (После полевых испытаний),"Наклейка: bodyy | Краков 2017, Team EnVyUs (голографическая) | Кёльн 2016, byali | Краков 2017, FaZe Clan | Кёльн 2016",43.14

AWP | Боец (После полевых испытаний),Наклейка: FalleN | Катовице 2019,45.35

AWP | Боец (После полевых испытаний),Наклейка: kennyS | Кёльн 2016,49.61

AWP | Боец (После полевых испытаний),"Наклейка: Team EnVyUs | MLG Columbus 2016, FaZe Clan | MLG Columbus 2016, Natus Vincere | Колумбус 2016",53.16

AWP | Боец (После полевых испытаний),"Наклейка: Perfecto | Стокгольм 2021, s1mple (голографическая) | Стокгольм 2021, Ninjas in Pyjamas | Стокгольм 2021, Let's Roll-oll (голографическая)",55.47

AWP | Боец (После полевых испытаний),"Наклейка: Perfecto | Стокгольм 2021, s1mple (голографическая) | Стокгольм 2021, Ninjas in Pyjamas | Стокгольм 2021, Let's Roll-oll (голографическая)",55.06

AWP | Боец (После полевых испытаний),"Наклейка: Cloud9 (голографическая) | Кёльн 2014, Skadoodle | Кёльн 2015",70.00

AWP | Боец (После полевых испытаний),Наклейка: apEX | Клуж-Напока 2015,81.00

AWP | Боец (После полевых испытаний),"Наклейка: Сфинкс, Не волнуйся, я про, Мастер Чиф (голографическая)",93.86

AWP | Боец (После полевых испытаний),"Наклейка: pronax | Кёльн 2015, Titan | Катовице 2015, Ninjas in Pyjamas | Катовице 2015",110.13

AWP | Боец (После полевых испытаний),"Наклейка: Plopski (голографическая) | Стокгольм 2021, Natus Vincere | Стокгольм 2021, Natus Vincere | Кёльн 2015, Закатный рывок (голографическая)",178.95

AWP | Боец (Немного поношенное),Наклейка: Natus Vincere | Кёльн 2016,38.82

AWP | Боец (Немного поношенное),Наклейка: Ninjas in Pyjamas (голографическая) | Лондон 2018,38.14

AWP | Боец (Немного поношенное),"Наклейка: GODSENT | РМР 2020, GODSENT | РМР 2020, GODSENT | РМР 2020, Spirit | РМР 2020",44.33

AWP | Боец (Немного поношенное),"Наклейка: Cloud9 G2A | Кёльн 2015, FaZe Clan | Атланта 2017, Natus Vincere | Атланта 2017, SK Gaming (голографическая) | Краков 2017",39.49

AWP | Боец (Немного поношенное),"Наклейка: Astralis | Краков 2017, SK Gaming (голографическая) | Кёльн 2016, Спец-тех, Astralis | Бостон 2018",40.86

AWP | Боец (Немного поношенное),"Наклейка: Сломанный клык (голографическая), Bosh (голографическая), Evil Geniuses (голографическая) | Стокгольм 2021",39.49

AWP | Боец (Немного поношенное),"Наклейка: kennyS | Колумбус 2016, karrigan | Бостон 2018",40.25

AWP | Боец (Немного поношенное),Наклейка: Кемпинг (металлическая),40.25

AWP | Боец (Немного поношенное),"Наклейка: Возрождение феникса (металлическая), StarLadder | Берлин 2019, USTILO | Лондон 2018, malta | Катовице 2019",42.83

AWP | Боец (Немного поношенное),"Наклейка: FaZe Clan (голографическая) | Лондон 2018, Возрождение феникса (металлическая), Бдительность (голографическая), Отличный выстрел",41.60

AWP | Боец (Немного поношенное),Наклейка: Natus Vincere | Кёльн 2016,38.82

AWP | Боец (Немного поношенное),Наклейка: Ninjas in Pyjamas (голографическая) | Лондон 2018,38.14

AWP | Боец (Немного поношенное),"Наклейка: GODSENT | РМР 2020, GODSENT | РМР 2020, GODSENT | РМР 2020, Spirit | РМР 2020",44.33

AWP | Боец (Немного поношенное),"Наклейка: Cloud9 G2A | Кёльн 2015, FaZe Clan | Атланта 2017, Natus Vincere | Атланта 2017, SK Gaming (голографическая) | Краков 2017",39.49

AWP | Боец (Немного поношенное),"Наклейка: Astralis | Краков 2017, SK Gaming (голографическая) | Кёльн 2016, Спец-тех, Astralis | Бостон 2018",40.86

AWP | Боец (Немного поношенное),"Наклейка: Сломанный клык (голографическая), Bosh (голографическая), Evil Geniuses (голографическая) | Стокгольм 2021",39.49

AWP | Боец (Немного поношенное),"Наклейка: kennyS | Колумбус 2016, karrigan | Бостон 2018",40.25

AWP | Боец (Немного поношенное),Наклейка: Кемпинг (металлическая),40.25

AWP | Боец (Немного поношенное),"Наклейка: Возрождение феникса (металлическая), StarLadder | Берлин 2019, USTILO | Лондон 2018, malta | Катовице 2019",42.83

AWP | Боец (Немного поношенное),"Наклейка: FaZe Clan (голографическая) | Лондон 2018, Возрождение феникса (металлическая), Бдительность (голографическая), Отличный выстрел",41.60

AWP | Боец (Немного поношенное),Наклейка: Natus Vincere | Кёльн 2016,38.82

AWP | Боец (Немного поношенное),Наклейка: Ninjas in Pyjamas (голографическая) | Лондон 2018,38.14

AWP | Боец (Немного поношенное),"Наклейка: GODSENT | РМР 2020, GODSENT | РМР 2020, GODSENT | РМР 2020, Spirit | РМР 2020",44.33

AWP | Боец (Немного поношенное),"Наклейка: Cloud9 G2A | Кёльн 2015, FaZe Clan | Атланта 2017, Natus Vincere | Атланта 2017, SK Gaming (голографическая) | Краков 2017",39.49

AWP | Боец (Немного поношенное),"Наклейка: Astralis | Краков 2017, SK Gaming (голографическая) | Кёльн 2016, Спец-тех, Astralis | Бостон 2018",40.86

AWP | Боец (Немного поношенное),"Наклейка: Сломанный клык (голографическая), Bosh (голографическая), Evil Geniuses (голографическая) | Стокгольм 2021",39.49

AWP | Боец (Немного поношенное),"Наклейка: kennyS | Колумбус 2016, karrigan | Бостон 2018",40.25

AWP | Боец (Немного поношенное),Наклейка: Кемпинг (металлическая),40.25

AWP | Боец (Немного поношенное),"Наклейка: Возрождение феникса (металлическая), StarLadder | Берлин 2019, USTILO | Лондон 2018, malta | Катовице 2019",42.83

AWP | Боец (Немного поношенное),"Наклейка: FaZe Clan (голографическая) | Лондон 2018, Возрождение феникса (металлическая), Бдительность (голографическая), Отличный выстрел",41.60

AWP | Боец (Немного поношенное),Наклейка: Natus Vincere | Кёльн 2016,38.82

AWP | Боец (Немного поношенное),Наклейка: Ninjas in Pyjamas (голографическая) | Лондон 2018,38.14

AWP | Боец (Немного поношенное),"Наклейка: GODSENT | РМР 2020, GODSENT | РМР 2020, GODSENT | РМР 2020, Spirit | РМР 2020",44.33

AWP | Боец (Немного поношенное),"Наклейка: Cloud9 G2A | Кёльн 2015, FaZe Clan | Атланта 2017, Natus Vincere | Атланта 2017, SK Gaming (голографическая) | Краков 2017",39.49

AWP | Боец (Немного поношенное),"Наклейка: Astralis | Краков 2017, SK Gaming (голографическая) | Кёльн 2016, Спец-тех, Astralis | Бостон 2018",40.86

AWP | Боец (Немного поношенное),"Наклейка: Сломанный клык (голографическая), Bosh (голографическая), Evil Geniuses (голографическая) | Стокгольм 2021",39.49

AWP | Боец (Немного поношенное),"Наклейка: kennyS | Колумбус 2016, karrigan | Бостон 2018",40.25

AWP | Боец (Немного поношенное),Наклейка: Кемпинг (металлическая),40.25

AWP | Боец (Немного поношенное),"Наклейка: Возрождение феникса (металлическая), StarLadder | Берлин 2019, USTILO | Лондон 2018, malta | Катовице 2019",42.83

AWP | Боец (Немного поношенное),"Наклейка: FaZe Clan (голографическая) | Лондон 2018, Возрождение феникса (металлическая), Бдительность (голографическая), Отличный выстрел",41.60

AWP | Боец (Немного поношенное),Наклейка: ENCE (голографическая) | Стокгольм 2021,47.90

AWP | Боец (Немного поношенное),"Наклейка: Легендарный беркут-магистр (голографическая), 100 Thieves (золотая) | РМР 2020, ESPADA (золотая) | РМР 2020",48.90

AWP | Боец (Немного поношенное),"Наклейка: Natus Vincere | РМР 2020, ELEAGUE | Бостон 2018, Борис, Возрождение феникса",48.94

AWP | Боец (Немного поношенное),"Наклейка: Natus Vincere (голографическая) | Кёльн 2016, Natus Vincere | Колумбус 2016",49.61

AWP | Боец (Немного поношенное),"Наклейка: JW | Кёльн 2015, koosta | Кёльн 2016, Counter Logic Gaming | Катовице 2015, North (голографическая) | Атланта 2017",47.46

AWP | Боец (Немного поношенное),"Наклейка: s1mple | Катовице 2019, s1mple | Катовице 2019, s1mple | Катовице 2019, FalleN (золотая) | Берлин 2019",53.22

AWP | Боец (Немного поношенное),"Наклейка: s1mple | Катовице 2019, s1mple | Катовице 2019, s1mple | Катовице 2019, FalleN (золотая) | Берлин 2019",53.21

AWP | Боец (Немного поношенное),"Наклейка: FaZe Clan | Краков 2017, FaZe Clan | Краков 2017, FaZe Clan | Краков 2017, FaZe Clan | Краков 2017",53.22

AWP | Боец (Немного поношенное),"Наклейка: cadiaN | Лондон 2018, KRIMZ | Лондон 2018, aizy | Кёльн 2016",53.21

AWP | Боец (Немного поношенное),Наклейка: Повеселимся,53.22

AWP | Боец (Немного поношенное),Наклейка: Spirit | РМР 2020,53.22

AWP | Боец (Немного поношенное),Наклейка: Virtus.Pro | Колумбус 2016,55.56

AWP | Боец (Немного поношенное),"Наклейка: Astralis (металлическая) | Кёльн 2016, device (металлическая) | Кёльн 2016",53.75

AWP | Боец (Немного поношенное),"Наклейка: Один выстрел — одно убийство, Единорог (голографическая)",55.06

AWP | Боец (Немного поношенное),Наклейка: Stewie2K | Краков 2017,54.40

AWP | Боец (Немного поношенное),"Наклейка: Ninjas in Pyjamas (голографическая) | Колумбус 2016, ESL (голографическая) | Кёльн 2016, Astralis (голографическая) | Кёльн 2016, Counter Logic Gaming (голографическая) | Кёльн 2016",54.51

AWP | Боец (Немного поношенное),"Наклейка: Ninjas in Pyjamas (голографическая) | Колумбус 2016, ESL (голографическая) | Кёльн 2016, Astralis (голографическая) | Кёльн 2016, Counter Logic Gaming (голографическая) | Кёльн 2016",55.29

AWP | Боец (Немного поношенное),"Наклейка: Natus Vincere | Атланта 2017, Natus Vincere (металлическая) | Колумбус 2016",61.19

AWP | Боец (Немного поношенное),"Наклейка: Stewie2K | Краков 2017, Skadoodle (металлическая) | Краков 2017",55.55

AWP | Боец (Немного поношенное),Наклейка: Virtus.Pro | Клуж-Напока 2015,62.07

AWP | Боец (Немного поношенное),"Наклейка: allu | Катовице 2019, coldzera | Катовице 2019, FalleN | Катовице 2019, Профессионал (металлическая)",61.19

AWP | Боец (Немного поношенное),"Наклейка: Vitality (металлическая) | РМР 2020, Vitality (металлическая) | РМР 2020, Vitality (металлическая) | РМР 2020, Renegades (золотая) | РМР 2020",58.53

AWP | Боец (Немного поношенное),"Наклейка: Bosh (голографическая), NEO | Кёльн 2016",59.13

AWP | Боец (Немного поношенное),"Наклейка: Liquid (голографическая) | РМР 2020, Liquid (голографическая) | РМР 2020, Жидкий огонь, Stewie2K | Катовице 2019",56.32

AWP | Боец (Немного поношенное),"Наклейка: Бдительность (голографическая), Бдительность (голографическая), Бдительность (голографическая), Бдительность (голографическая)",61.19

AWP | Боец (Немного поношенное),Наклейка: Феникс (металлическая),54.51

AWP | Боец (Немного поношенное),Наклейка: Феникс (металлическая),53.60

AWP | Боец (Немного поношенное),"Наклейка: Завоеватель, Козырные тузы, Чертова дюжина (металлическая)",61.19

AWP | Боец (Немного поношенное),"Наклейка: Virtus.Pro | Краков 2017, flusha | Колумбус 2016, Team EnVyUs | MLG Columbus 2016, Fnatic | Атланта 2017",61.19

AWP | Боец (Немного поношенное),"Наклейка: Дьявольский туз (металлическая), История о драконе (голографическая), Каменная чешуя (металлическая), DickStacy | Катовице 2019",61.19

AWP | Боец (Немного поношенное),Наклейка: kennyS | Кёльн 2015,59.62

AWP | Боец (Немного поношенное),Наклейка: Skadoodle | Кёльн 2015,60.00

AWP | Боец (Немного поношенное),"Наклейка: Спецназ в банане, G2 Esports (голографическая) | Лондон 2018, NBK- | Атланта 2017",63.86

AWP | Боец (Немного поношенное),Наклейка: Aleksib | Берлин 2019,67.12

AWP | Боец (Немного поношенное),"Наклейка: Team Dignitas (металлическая) | Кёльн 2016, Natus Vincere | Бостон 2018, Team EnVyUs | MLG Columbus 2016",61.77

AWP | Боец (Немного поношенное),"Наклейка: Страна AWP, Natus Vincere | Бостон 2018, s1mple | Бостон 2018",65.00

AWP | Боец (Немного поношенное),"Наклейка: Страна AWP, Natus Vincere | Бостон 2018, s1mple | Бостон 2018",65.00

AWP | Боец (Немного поношенное),"Наклейка: GODSENT | Стокгольм 2021, GODSENT | Стокгольм 2021, Team Liquid (голографическая) | Стокгольм 2021, GODSENT | Стокгольм 2021",67.92

AWP | Боец (Немного поношенное),"Наклейка: s1mple | Бостон 2018, Skadoodle (металлическая) | Бостон 2018, Titan | Кёльн 2015, Titan | Кёльн 2015",66.15

AWP | Боец (Немного поношенное),"Наклейка: ENCE (голографическая) | Берлин 2019, ENCE (голографическая) | Берлин 2019, ENCE (голографическая) | Берлин 2019, ENCE (голографическая) | Берлин 2019",69.63

AWP | Боец (Немного поношенное),Наклейка: kennyS | Кёльн 2015,59.62

AWP | Боец (Немного поношенное),Наклейка: Skadoodle | Кёльн 2015,60.00

AWP | Боец (Немного поношенное),"Наклейка: Спецназ в банане, G2 Esports (голографическая) | Лондон 2018, NBK- | Атланта 2017",63.86

AWP | Боец (Немного поношенное),Наклейка: Aleksib | Берлин 2019,67.12

AWP | Боец (Немного поношенное),"Наклейка: Team Dignitas (металлическая) | Кёльн 2016, Natus Vincere | Бостон 2018, Team EnVyUs | MLG Columbus 2016",61.77

AWP | Боец (Немного поношенное),"Наклейка: Страна AWP, Natus Vincere | Бостон 2018, s1mple | Бостон 2018",65.00

AWP | Боец (Немного поношенное),"Наклейка: Natus Vincere | Кёльн 2015, GuardiaN | Кёльн 2015",65.00

AWP | Боец (Немного поношенное),"Наклейка: GODSENT | Стокгольм 2021, GODSENT | Стокгольм 2021, Team Liquid (голографическая) | Стокгольм 2021, GODSENT | Стокгольм 2021",67.92

AWP | Боец (Немного поношенное),"Наклейка: s1mple | Бостон 2018, Skadoodle (металлическая) | Бостон 2018, Titan | Кёльн 2015, Titan | Кёльн 2015",66.15

AWP | Боец (Немного поношенное),"Наклейка: ENCE (голографическая) | Берлин 2019, ENCE (голографическая) | Берлин 2019, ENCE (голографическая) | Берлин 2019, ENCE (голографическая) | Берлин 2019",69.63

AWP | Боец (Немного поношенное),Наклейка: Бдительность (голографическая),80.50

AWP | Боец (Немного поношенное),"Наклейка: Да здравствует король (голографическая), Да здравствует король (голографическая), Да здравствует король (голографическая), Да здравствует король (голографическая)",82.70

AWP | Боец (Немного поношенное),"Наклейка: Спец-тех, Крутые цыпы, SK Gaming | Краков 2017",88.35

AWP | Боец (Немного поношенное),"Наклейка: Evil Geniuses (золотая) | РМР 2020, Eternal Fire (золотая) | Антверпен 2022, Renegades (голографическая) | Стокгольм 2021, Copenhagen Flames (голографическая) | Стокгольм 2021",86.25

AWP | Боец (Немного поношенное),"Наклейка: Virtus.pro (голографическая) | Катовице 2015, Titan | Катовице 2015, DAVEY (металлическая) | Колумбус 2016",95.17

AWP | Боец (Немного поношенное),Наклейка: Virtus.Pro | Кёльн 2015,84.72

AWP | Боец (Немного поношенное),Наклейка: Virtus.Pro | Кёльн 2015,91.79

AWP | Боец (Немного поношенное),Наклейка: Natus Vincere (золотая) | РМР 2020,94.61

AWP | Боец (Немного поношенное),"Наклейка: Ninjas in Pyjamas (золотая) | Стокгольм 2021, Ninjas in Pyjamas (золотая) | Стокгольм 2021, Ninjas in Pyjamas (золотая) | Стокгольм 2021, Ninjas in Pyjamas (золотая) | Стокгольм 2021",106.42

AWP | Боец (Немного поношенное),"Наклейка: Не волнуйся, я про, Плёвое дело, Из грязи в князи",106.43

AWP | Боец (Немного поношенное),"Наклейка: Не волнуйся, я про, Плёвое дело, Из грязи в князи",106.43

AWP | Боец (Немного поношенное),"Наклейка: Natus Vincere | Бостон 2018, JW | Кёльн 2016, Team SoloMid | Кёльн 2015",103.68

AWP | Боец (Немного поношенное),"Наклейка: Spiidi (металлическая) | Бостон 2018, Древний мародёр, chopper | Бостон 2018, keev (металлическая) | Краков 2017",121.32

AWP | Боец (Немного поношенное),"Наклейка: ZywOo (голографическая) | Стокгольм 2021, Team Liquid | Кёльн 2016, device | Бостон 2018, device (золотая) | Бостон 2018",105.31

AWP | Боец (Немного поношенное),"Наклейка: Titan | Катовице 2015, Код от бомбы, GODSENT | Атланта 2017",115.06

AWP | Боец (Немного поношенное),Наклейка: GuardiaN | Атланта 2017,117.72

AWP | Боец (Немного поношенное),Наклейка: GuardiaN | Атланта 2017,111.00

AWP | Боец (Немного поношенное),"Наклейка: Natus Vincere (голографическая) | Кёльн 2016, Natus Vincere (металлическая) | Кёльн 2015, Natus Vincere (металлическая) | Краков 2017, Natus Vincere (голографическая) | Бостон 2018",117.38

AWP | Боец (Немного поношенное),"Наклейка: Astralis (голографическая) | MLG Columbus 2016, freakazoid (металлическая) | Клуж-Напока 2015",113.79

AWP | Боец (Немного поношенное),Наклейка: JW | Кёльн 2016,129.61

AWP | Боец (Немного поношенное),"Наклейка: JW | Клуж-Напока 2015, Fnatic | Клуж-Напока 2015, JW | Клуж-Напока 2015",126.50

AWP | Боец (Немного поношенное),"Наклейка: saffee (голографическая) | Антверпен 2022, saffee (голографическая) | Антверпен 2022, FURIA (золотая) | Антверпен 2022, saffee (золотая) | Антверпен 2022",128.68

AWP | Боец (Немного поношенное),Наклейка: Virtus.Pro (голографическая) | DreamHack 2014,130.00

AWP | Боец (Немного поношенное),Наклейка: TaZ | Бостон 2018,142.74

AWP | Боец (Немного поношенное),"Наклейка: Всемирная элита (голографическая), Всемирная элита (голографическая), Titan (голографическая) | Катовице 2015, Всемирная элита (голографическая)",148.86

AWP | Боец (Немного поношенное),"Наклейка: Шерри, Тамара, Грязные деньги",158.74

AWP | Боец (Немного поношенное),"Наклейка: Шерри, Тамара, Грязные деньги",159.64

AWP | Боец (Немного поношенное),"Наклейка: Единорог (голографическая), Плёвое дело, Снайпер, Крутые цыпы",180.60

AWP | Боец (Немного поношенное),"Наклейка: GuardiaN | Краков 2017, bodyy (металлическая) | Краков 2017, Team SoloMid (металлическая) | Кёльн 2015, zehN (золотая) | Краков 2017",198.46

AWP | Боец (Немного поношенное),"Наклейка: FURIA (голографическая) | Стокгольм 2021, arT (голографическая) | Стокгольм 2021, FURIA (голографическая) | Стокгольм 2021, FURIA (золотая) | Стокгольм 2021",202.87

AWP | Боец (Немного поношенное),"Наклейка: Virtus.pro (голографическая) | Катовице 2015, Кавайный спецназ, Кавайный террорист, Кот удачи (металлическая)",219.56

AWP | Боец (Немного поношенное),"Наклейка: FaZe (голографическая) | РМР 2020, OG (голографическая) | РМР 2020, North (металлическая) | РМР 2020, Тамара",281.47

AWP | Боец (Немного поношенное),Наклейка: Ninjas in Pyjamas | Кёльн 2015,296.55

AWP | Боец (Немного поношенное),"Наклейка: Natus Vincere (голографическая) | Кёльн 2016, GuardiaN | Кёльн 2015, Natus Vincere (голографическая) | Катовице 2015",425.67

AWP | Боец (Немного поношенное),Наклейка: Fnatic | Атланта 2017,611.91

AWP | Боец (Немного поношенное),"Наклейка: Natus Vincere (металлическая) | Клуж-Напока 2015, Natus Vincere (голографическая) | DreamHack 2014, Natus Vincere (голографическая) | Катовице 2015",788.93

AWP | Боец (Немного поношенное),"Наклейка: Natus Vincere (металлическая) | Клуж-Напока 2015, Natus Vincere (голографическая) | DreamHack 2014, Natus Vincere (голографическая) | Катовице 2015",1.236.62

AWP | Боец (Немного поношенное),Наклейка: kennyS (металлическая) | Клуж-Напока 2015,1.376.86

AWP | Боец (Немного поношенное),"Наклейка: kennyS | Кёльн 2015, Новый шериф (металлическая), Пока смерть не разлучит нас",1.590.95

