AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Evil Geniuses | РМР 2020, Легенда",1.40
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: hatz | Антверпен 2022, hades | Антверпен 2022",1.40
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: fer | Антверпен 2022, VINI | Антверпен 2022, fnx | Антверпен 2022",1.40
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: Vitality | РМР 2020,1.40
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Heroic | РМР 2020, Renegades | Антверпен 2022, Heroic | РМР 2020, s1mple | Стокгольм 2021",1.40
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: draken | Лондон 2018,1.40
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: draken | Лондон 2018,1.40
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: FURIA | РМР 2020, Кроха Огненный змей",1.41
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: ENCE (блёстки) | Антверпен 2022, electroNic | Стокгольм 2021",1.42
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Gen.G | РМР 2020, Gen.G | РМР 2020, Gen.G | РМР 2020",1.42
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: ropz (чемпион) | Антверпен 2022,1.58
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: JT | Антверпен 2022, JT | Антверпен 2022, JT | Антверпен 2022, Heroic | Антверпен 2022",1.58
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: Battlefield Portal,1.65
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Natus Vincere | Стокгольм 2021, Natus Vincere | Стокгольм 2021, Natus Vincere | Стокгольм 2021, Natus Vincere | Стокгольм 2021",1.65
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: Золотая сеть (металлическая),1.57
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Magisk | Берлин 2019, Xyp9x | Берлин 2019, dupreeh | Берлин 2019, gla1ve | Берлин 2019",1.57
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Magisk | Берлин 2019, Xyp9x | Берлин 2019, dupreeh | Берлин 2019, gla1ve | Берлин 2019",1.57
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: BIG | Катовице 2019, BIG (голографическая) | РМР 2020, Astralis | РМР 2020, Nemiga (голографическая) | РМР 2020",1.57
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: G2 | РМР 2020, G2 | РМР 2020, G2 | РМР 2020, G2 | РМР 2020",1.65
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: nicoodoz | Антверпен 2022,1.54
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Vitality | РМР 2020, Vitality | РМР 2020, Vitality | РМР 2020, Vitality | РМР 2020",1.64
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Liquid | РМР 2020, Liquid | РМР 2020, Fnatic (голографическая) | РМР 2020, Spirit (голографическая) | РМР 2020",1.56
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Heroic | Антверпен 2022, Perfecto | Стокгольм 2021, Perfecto (голографическая) | Стокгольм 2021, G2 Esports | Антверпен 2022",1.62
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Ax1Le | Антверпен 2022, Ax1Le | Антверпен 2022, Ax1Le | Антверпен 2022",1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Natus Vincere (голографическая) | РМР 2020, Natus Vincere (голографическая) | РМР 2020, Natus Vincere (голографическая) | РМР 2020",1.57
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Медаль за заслуги, Astralis | Антверпен 2022, Медаль за заслуги, Imperial Esports | Антверпен 2022",1.57
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Медаль за заслуги, Astralis | Антверпен 2022, Медаль за заслуги, Imperial Esports | Антверпен 2022",1.54
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Я слишком стар, North (голографическая) | РМР 2020, Spirit | РМР 2020, Тер-тех",1.52
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Outsiders | Антверпен 2022, Eternal Fire | Антверпен 2022, Outsiders | Антверпен 2022, 9z Team | Антверпен 2022",1.56
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Evil Geniuses | РМР 2020, Evil Geniuses | РМР 2020, Evil Geniuses | РМР 2020, Evil Geniuses | РМР 2020",1.54
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Boom | РМР 2020, FURIA | РМР 2020",1.56
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Spirit | РМР 2020, Spirit | РМР 2020, Spirit | РМР 2020, Spirit | РМР 2020",1.67
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Ninjas in Pyjamas | РМР 2020, RpK | Берлин 2019",1.69
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: Ветеран нарковойн,1.62
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: MIBR (голографическая) | Катовице 2019, MIBR (голографическая) | Лондон 2018",1.58
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Spirit | РМР 2020, Spirit | РМР 2020, Позолоченный волнолов",1.65
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Spirit | РМР 2020, Spirit | РМР 2020, Позолоченный волнолов",1.54
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Nemiga (голографическая) | РМР 2020, Nemiga (голографическая) | РМР 2020, Nemiga (голографическая) | РМР 2020, Nemiga (голографическая) | РМР 2020",1.57
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: NiKo | Берлин 2019,1.69
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Расколотая сеть, Высший разум, Золотая сеть, Один укус",1.57
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Boom | РМР 2020, FURIA | РМР 2020",1.56
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Spirit | РМР 2020, Spirit | РМР 2020, Spirit | РМР 2020, Spirit | РМР 2020",1.67
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Ninjas in Pyjamas | РМР 2020, RpK | Берлин 2019",1.69
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: Ветеран нарковойн,1.62
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: MIBR (голографическая) | Катовице 2019, MIBR (голографическая) | Лондон 2018",1.58
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Spirit | РМР 2020, Spirit | РМР 2020, Позолоченный волнолов",1.65
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Код от бомбы, fer | Бостон 2018",1.54
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Nemiga (голографическая) | РМР 2020, Nemiga (голографическая) | РМР 2020, Nemiga (голографическая) | РМР 2020, Nemiga (голографическая) | РМР 2020",1.57
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: NiKo | Берлин 2019,1.69
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Расколотая сеть, Высший разум, Золотая сеть, Один укус",1.57
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Renegades | Стокгольм 2021, Vitality | РМР 2020, Vitality | РМР 2020, Vitality | РМР 2020",1.55
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: Древний защитник,1.54
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Natus Vincere | РМР 2020, Natus Vincere | РМР 2020, Natus Vincere | РМР 2020, Natus Vincere | РМР 2020",1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: nicoodoz (блёстки) | Антверпен 2022, nicoodoz (блёстки) | Антверпен 2022, nicoodoz (блёстки) | Антверпен 2022, nicoodoz (блёстки) | Антверпен 2022",1.65
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Evil Geniuses | РМР 2020, Evil Geniuses | РМР 2020, Evil Geniuses | РМР 2020, FURIA | Антверпен 2022",1.65
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Spirit | РМР 2020, Spirit | РМР 2020, Spirit | РМР 2020, Spirit | РМР 2020",1.56
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Spirit | РМР 2020, Spirit | РМР 2020, Spirit | РМР 2020, Spirit | РМР 2020",1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: GODSENT | РМР 2020, Fnatic | РМР 2020, Nemiga | РМР 2020, Astralis | РМР 2020",1.66
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Natus Vincere | РМР 2020, FURIA | Антверпен 2022, Copenhagen Flames (блёстки) | Антверпен 2022, ENCE | Рио 2022",1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Беги, спецназ, беги, Virtus.Pro | Стокгольм 2021, Змеиная атака, Лазерный луч",1.65
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: GODSENT (голографическая) | РМР 2020,1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Ninjas in Pyjamas (голографическая) | РМР 2020, 100 Thieves (голографическая) | РМР 2020, Evil Geniuses (голографическая) | РМР 2020, 100 Thieves (голографическая) | РМР 2020",1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Мастер Чиф (металлическая), s1mple | Стокгольм 2021, Токсичность (металлическая), Зелёный смертоносец",1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Расколотая сеть, Kvik (металлическая) | Лондон 2018, FACEIT | Лондон 2018, Natus Vincere | Лондон 2018",1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: MLG | Колумбус 2016, Virtus.Pro | Лондон 2018, Fnatic | Бостон 2018",1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Черепризрак, FaZe Clan | Краков 2017, keev | Краков 2017",1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Черепризрак, FaZe Clan | Краков 2017, keev | Краков 2017",1.74
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: TeSeS | Антверпен 2022,1.55
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Ninjas in Pyjamas | Лондон 2018, f0rest | Катовице 2019, Ninjas in Pyjamas | РМР 2020, f0rest | Катовице 2019",1.55
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Tyloo | Лондон 2018, Tyloo | Лондон 2018, Tyloo | Лондон 2018, Tyloo | Лондон 2018",1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Spirit | РМР 2020, GeT_RiGhT | Берлин 2019, Плохо нарисованная Ава, Heroic (голографическая) | РМР 2020",1.65
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Heroic | Антверпен 2022, Heroic | Антверпен 2022, Heroic | Антверпен 2022, FaZe Clan | Антверпен 2022",1.70
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: somebody | Катовице 2019, AdreN | Катовице 2019",1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Легендарный беркут, Natus Vincere | РМР 2020, GODSENT | РМР 2020",1.65
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Natus Vincere | Стокгольм 2021, Natus Vincere | Стокгольм 2021, Natus Vincere | Стокгольм 2021, Natus Vincere | Стокгольм 2021",1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: b1t | Стокгольм 2021, b1t | Стокгольм 2021, b1t | Стокгольм 2021, b1t | Стокгольм 2021",1.57
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: b1t | Стокгольм 2021, b1t | Стокгольм 2021, b1t | Стокгольм 2021, b1t | Стокгольм 2021",1.61
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: ISSAA | Катовице 2019,1.65
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Evil Geniuses (голографическая) | РМР 2020, Virtus.pro (голографическая) | РМР 2020",1.54
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Astralis | Антверпен 2022, Bad News Eagles (голографическая) | Антверпен 2022, Imperial Esports | Антверпен 2022, Xyp9x | Антверпен 2022",1.70
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Stewie2K | Берлин 2019, apEX | Берлин 2019, NEO | Берлин 2019, olofmeister | Берлин 2019",1.69
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: OG | РМР 2020, OG | РМР 2020, Evil Geniuses | Стокгольм 2021, OG | РМР 2020",1.68
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: Fnatic | MLG Columbus 2016,1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Natus Vincere | РМР 2020, Fnatic | РМР 2020, G2 | РМР 2020, FaZe | РМР 2020",1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Привет, я играю в",1.54
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Ninjas in Pyjamas | Стокгольм 2021, Ninjas in Pyjamas | Стокгольм 2021, Vitality | Стокгольм 2021, Virtus.Pro | Стокгольм 2021",1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Ninjas in Pyjamas | Стокгольм 2021, Ninjas in Pyjamas | Стокгольм 2021, Vitality | Стокгольм 2021, Virtus.Pro | Стокгольм 2021",1.61
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: Evil Geniuses | РМР 2020,1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Boombl4 | Стокгольм 2021, Natus Vincere | Антверпен 2022, Heroic | Антверпен 2022, FURIA | Антверпен 2022",1.61
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: GODSENT | РМР 2020,1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Jame | Бостон 2018, Магистр-хранитель, karrigan (металлическая) | Лондон 2018",1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: FaZe | РМР 2020, FaZe | РМР 2020, FaZe | РМР 2020, FaZe | РМР 2020",1.61
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: Грязные деньги,1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: karrigan | Бостон 2018, FaZe Clan | Краков 2017, GuardiaN | Бостон 2018, CR4ZY | Берлин 2019",1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Код «Дружба», ENCE | Катовице 2019, Гнумление, zehN | Бостон 2018",1.57
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: karrigan | Краков 2017, gade | Лондон 2018, Let's Roll-oll, gade | Лондон 2018",1.64
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: karrigan | Краков 2017, gade | Лондон 2018, Let's Roll-oll, gade | Лондон 2018",1.62
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Код «Дружба», TSM Kinguin | Катовице 2015",1.58
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: dupreeh | Краков 2017, Virtus.Pro | Краков 2017, mousesports | Краков 2017, ELEAGUE | Atlanta 2017",1.65
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Сломанный клык (голографическая), Ninjas in Pyjamas | Кёльн 2015, Медаль за заслуги",1.76
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Высший разум, Токсичность, suNny | Лондон 2018, В паутине (голографическая)",1.65
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: TYLOO | РМР 2020, Боевые шрамы, Heroic | РМР 2020, FaZe (голографическая) | РМР 2020",1.65
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: На охоте,1.57
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: FURIA | РМР 2020, FURIA | РМР 2020, Virtus.pro | РМР 2020, FaZe | РМР 2020",1.70
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Древний мародёр, Kvik | Катовице 2019",1.70
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: FaZe | РМР 2020, Heroic | РМР 2020, 100 Thieves | РМР 2020",1.70
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: FaZe | РМР 2020, Heroic | РМР 2020, 100 Thieves | РМР 2020",1.62
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: Copenhagen Flames | Стокгольм 2021,1.75
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: FaZe Clan | Бостон 2018,1.70
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: RpK | Клуж-Напока 2015, flusha | Кёльн 2015, KRIMZ | Кёльн 2015",1.62
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: NiKo (металлическая) | Лондон 2018,1.61
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Snax | Краков 2017, Cloud9 | Краков 2017",1.73
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: ENCE | Стокгольм 2021, ENCE | Стокгольм 2021, ENCE | Стокгольм 2021, ENCE | Стокгольм 2021",1.69
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Renegades (голографическая) | РМР 2020, Renegades (голографическая) | РМР 2020, Renegades (голографическая) | РМР 2020, Renegades (голографическая) | РМР 2020",1.62
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: FURIA | РМР 2020,1.63
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Ninjas in Pyjamas | Антверпен 2022, Natus Vincere | Антверпен 2022, BIG (блёстки) | Антверпен 2022, BIG | Антверпен 2022",1.77
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Ninjas in Pyjamas | Антверпен 2022, Natus Vincere | Антверпен 2022, BIG (блёстки) | Антверпен 2022, BIG | Антверпен 2022",1.54
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Evil Geniuses | РМР 2020, Evil Geniuses | РМР 2020, Evil Geniuses | РМР 2020, Evil Geniuses | РМР 2020",1.57
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: Twistzz | Антверпен 2022,1.65
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: GODSENT | РМР 2020, Победа в кармане (голографическая)",1.54
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Tyloo | Берлин 2019, electronic (металлическая) | Берлин 2019, Natus Vincere | Берлин 2019",1.57
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Team Liquid (голографическая) | Берлин 2019, Team Liquid (голографическая) | Берлин 2019, Team Liquid (голографическая) | Берлин 2019, Team Liquid (голографическая) | Берлин 2019",1.57
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Team Liquid | Лондон 2018, Подопытная свинка (голографическая), Natus Vincere | Бостон 2018",1.63
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Клуб ножей, Удачи",1.63
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Astralis | Краков 2017, Virtus.Pro | Краков 2017, BIG | Антверпен 2022, FalleN | Краков 2017",1.63
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: arT | Антверпен 2022, KSCERATO | Антверпен 2022, arT | Антверпен 2022, yuurih (блёстки) | Антверпен 2022",1.63
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: arT | Антверпен 2022, KSCERATO | Антверпен 2022, arT | Антверпен 2022, yuurih (блёстки) | Антверпен 2022",1.63
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: Natus Vincere | РМР 2020,1.67
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: TYLOO | РМР 2020, Heroic (голографическая) | РМР 2020, Renegades | РМР 2020",1.73
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Jame | Антверпен 2022, 9z Team (блёстки) | Антверпен 2022, Renegades (блёстки) | Антверпен 2022, Team Spirit (блёстки) | Антверпен 2022",1.65
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Беги, спецназ, беги, Evil Geniuses | Стокгольм 2021, Evil Geniuses | Стокгольм 2021, Повеселимся",1.57
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: Вигго,1.65
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: PGL | Антверпен 2022, PGL | Антверпен 2022, PGL | Антверпен 2022, PGL | Антверпен 2022",1.54
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: RpK | Берлин 2019,1.70
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Boombl4 | Берлин 2019, Zeus | Берлин 2019, electronic | Лондон 2018",1.70
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: Дракон,1.54
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: Дракон,1.64
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: ENCE | Катовице 2019, ENCE | Катовице 2019, FaZe Clan | Берлин 2019, Заклинатель курочек",1.65
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Copenhagen Flames | Антверпен 2022, Copenhagen Flames | Антверпен 2022, Copenhagen Flames | Антверпен 2022, Copenhagen Flames | Антверпен 2022",1.65
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Spirit | РМР 2020, Золотая сеть, Spirit | РМР 2020, North | РМР 2020",1.81
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: zhokiNg | Катовице 2019, JaCkz | Катовице 2019, Freeman | Катовице 2019, TACO | Бостон 2018",1.79
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: BIG | Лондон 2018, BIG | Лондон 2018, BIG | Лондон 2018",1.57
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: Лама-пушка,1.70
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Natus Vincere | РМР 2020, Natus Vincere | РМР 2020, Natus Vincere | РМР 2020, Natus Vincere | РМР 2020",1.70
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: Cloud9 G2A | Кёльн 2015,1.63
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Тер-тех, Тер-тех, Кавайный террорист, Fnatic | Кёльн 2016",1.64
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Тер-тех, Тер-тех, Кавайный террорист, Fnatic | Кёльн 2016",1.53
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Fnatic | Кёльн 2016, SANJI | Берлин 2019, oskar | Берлин 2019, SANJI | Берлин 2019",1.58
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: flamie | Берлин 2019,1.81
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: Natus Vincere | РМР 2020,1.65
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Bad News Eagles | Рио 2022, Bad News Eagles | Рио 2022",1.65
AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка: Natus Vincere | РМР 2020,1.65
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Gen.G | РМР 2020, electroNic | Стокгольм 2021, Boombl4 | Стокгольм 2021, Perfecto | Стокгольм 2021",1.65
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Vitality (голографическая) | РМР 2020, Natus Vincere | РМР 2020, Кимберли",1.65
AK-47 | Элитное снаряжение (После полевых испытаний),"Наклейка: Первая кровь, Укуси меня, Охотник",1.65
